SEASON;Home;Away;HOME_TEAM;AWAY_TEAM;STADIUM;ATTENDANCE;HOME_TEAM_SCORE;AWAY_TEAM_SCORE;Status
2016-2017;309550000;265030000;AS Monaco;Bayer Leverkusen;Stade Louis II;8100;1;1;Beraberlik
2016-2017;96000000;543650000;CSKA Moskva;Tottenham Hotspur;Arena Khimki;26153;0;1;Mağlubiyet
2016-2017;265030000;543650000;Bayer Leverkusen;Tottenham Hotspur;BayArena;28887;0;0;Beraberlik
2016-2017;96000000;309550000;CSKA Moskva;AS Monaco;VEB Arena;24125;1;1;Beraberlik
2016-2017;309550000;96000000;AS Monaco;CSKA Moskva;Stade Louis II;10029;3;0;Galibiyet
2016-2017;543650000;265030000;Tottenham Hotspur;Bayer Leverkusen;Wembley Stadium;85512;0;1;Mağlubiyet
2016-2017;96000000;265030000;CSKA Moskva;Bayer Leverkusen;VEB Arena;19164;1;1;Beraberlik
2016-2017;309550000;543650000;AS Monaco;Tottenham Hotspur;Stade Louis II;13100;2;1;Galibiyet
2016-2017;265030000;309550000;Bayer Leverkusen;AS Monaco;BayArena;21928;3;0;Galibiyet
2016-2017;543650000;96000000;Tottenham Hotspur;CSKA Moskva;Wembley Stadium;62034;3;1;Galibiyet
2016-2017;50230000;390650000;Legia Warszawa;Borussia Dortmund;Stadion Wojska Polskiego;27304;0;6;Mağlubiyet
2016-2017;802900000;258700000;Real Madrid;Sporting CP;Santiago Bernabéu;72179;2;1;Galibiyet
2016-2017;390650000;802900000;Borussia Dortmund;Real Madrid;Signal Iduna Park;65849;2;2;Beraberlik
2016-2017;258700000;50230000;Sporting CP;Legia Warszawa;Estádio José Alvalade;40094;2;0;Galibiyet
2016-2017;802900000;50230000;Real Madrid;Legia Warszawa;Santiago Bernabéu;70251;5;1;Galibiyet
2016-2017;258700000;390650000;Sporting CP;Borussia Dortmund;Estádio José Alvalade;46609;1;2;Mağlubiyet
2016-2017;390650000;258700000;Borussia Dortmund;Sporting CP;Signal Iduna Park;65849;1;0;Galibiyet
2016-2017;50230000;802900000;Legia Warszawa;Real Madrid;Stadion Wojska Polskiego;0;3;3;Beraberlik
2016-2017;390650000;50230000;Borussia Dortmund;Legia Warszawa;Signal Iduna Park;55094;8;4;Galibiyet
2016-2017;258700000;802900000;Sporting CP;Real Madrid;Estádio José Alvalade;50046;1;2;Mağlubiyet
2016-2017;50230000;258700000;Legia Warszawa;Sporting CP;Stadion Wojska Polskiego;28232;1;0;Galibiyet
2016-2017;802900000;390650000;Real Madrid;Borussia Dortmund;Santiago Bernabéu;76894;2;2;Beraberlik
2016-2017;117750000;218650000;Club Brugge KV;Leicester City;Jan Breydel Stadion;20970;0;3;Mağlubiyet
2016-2017;205250000;41650000;FC Porto;FC København;Estádio do Dragão;34325;1;1;Beraberlik
2016-2017;41650000;117750000;FC København;Club Brugge KV;Telia Parken;25605;4;0;Galibiyet
2016-2017;218650000;205250000;Leicester City;FC Porto;King Power Stadium;31805;1;0;Galibiyet
2016-2017;117750000;205250000;Club Brugge KV;FC Porto;Jan Breydel Stadion;23325;1;2;Mağlubiyet
2016-2017;218650000;41650000;Leicester City;FC København;King Power Stadium;31037;1;0;Galibiyet
2016-2017;41650000;218650000;FC København;Leicester City;Telia Parken;34146;0;0;Beraberlik
2016-2017;205250000;117750000;FC Porto;Club Brugge KV;Estádio do Dragão;32310;1;0;Galibiyet
2016-2017;41650000;205250000;FC København;FC Porto;Telia Parken;32036;0;0;Beraberlik
2016-2017;218650000;117750000;Leicester City;Club Brugge KV;King Power Stadium;31443;2;1;Galibiyet
2016-2017;117750000;41650000;Club Brugge KV;FC København;Jan Breydel Stadion;18981;0;2;Mağlubiyet
2016-2017;205250000;218650000;FC Porto;Leicester City;Estádio do Dragão;39310;5;0;Galibiyet
2016-2017;497180000;270100000;Juventus;Sevilla FC;Allianz Stadium;33261;0;0;Beraberlik
2016-2017;211350000;97200000;Olympique Lyon;Dinamo Zagreb;Groupama Stadium;43754;3;0;Galibiyet
2016-2017;97200000;497180000;Dinamo Zagreb;Juventus;Maksimir;23875;0;4;Mağlubiyet
2016-2017;270100000;211350000;Sevilla FC;Olympique Lyon;Ramón Sánchez Pizjuán;36741;1;0;Galibiyet
2016-2017;97200000;270100000;Dinamo Zagreb;Sevilla FC;Maksimir;6021;0;1;Mağlubiyet
2016-2017;211350000;497180000;Olympique Lyon;Juventus;Groupama Stadium;53907;0;1;Mağlubiyet
2016-2017;497180000;211350000;Juventus;Olympique Lyon;Allianz Stadium;40356;1;1;Beraberlik
2016-2017;270100000;97200000;Sevilla FC;Dinamo Zagreb;Ramón Sánchez Pizjuán;35215;4;0;Galibiyet
2016-2017;97200000;211350000;Dinamo Zagreb;Olympique Lyon;Maksimir;7834;0;1;Mağlubiyet
2016-2017;270100000;497180000;Sevilla FC;Juventus;Ramón Sánchez Pizjuán;38942;1;3;Mağlubiyet
2016-2017;497180000;97200000;Juventus;Dinamo Zagreb;Allianz Stadium;39380;2;0;Galibiyet
2016-2017;211350000;270100000;Olympique Lyon;Sevilla FC;Groupama Stadium;52423;0;0;Beraberlik
2016-2017;249200000;390650000;SL Benfica;Borussia Dortmund;Estádio da Luz;55124;1;0;Galibiyet
2016-2017;519000000;765300000;Paris Saint-Germain;FC Barcelona;Parc des Princes;46484;4;0;Galibiyet
2016-2017;802900000;387380000;Real Madrid;SSC Napoli;Santiago Bernabéu;78000;3;1;Galibiyet
2016-2017;562550000;542000000;Bayern München;Arsenal FC;Allianz Arena;70000;5;1;Galibiyet
2016-2017;576500000;309550000;Manchester City;AS Monaco;Etihad Stadium;53351;5;3;Galibiyet
2016-2017;265030000;515800000;Bayer Leverkusen;Atlético Madrid;BayArena;29300;2;4;Mağlubiyet
2016-2017;205250000;497180000;FC Porto;Juventus;Estádio do Dragão;49229;0;2;Mağlubiyet
2016-2017;270100000;218650000;Sevilla FC;Leicester City;Ramón Sánchez Pizjuán;38834;2;1;Galibiyet
2016-2017;387380000;802900000;SSC Napoli;Real Madrid;Diego Maradona;56695;1;3;Mağlubiyet
2016-2017;542000000;562550000;Arsenal FC;Bayern München;Emirates Stadium;59911;1;5;Mağlubiyet
2016-2017;390650000;249200000;Borussia Dortmund;SL Benfica;Signal Iduna Park;65849;4;0;Galibiyet
2016-2017;765300000;519000000;FC Barcelona;Paris Saint-Germain;Spotify Camp Nou;96290;6;1;Galibiyet
2016-2017;497180000;205250000;Juventus;FC Porto;Allianz Stadium;41161;1;0;Galibiyet
2016-2017;218650000;270100000;Leicester City;Sevilla FC;King Power Stadium;31520;2;0;Galibiyet
2016-2017;309550000;576500000;AS Monaco;Manchester City;Stade Louis II;15700;3;1;Galibiyet
2016-2017;515800000;265030000;Atlético Madrid;Bayer Leverkusen;Vicente Calderón;49133;0;0;Beraberlik
2016-2017;497180000;765300000;Juventus;FC Barcelona;Allianz Stadium;41092;3;0;Galibiyet
2016-2017;390650000;309550000;Borussia Dortmund;AS Monaco;Signal Iduna Park;65849;2;3;Mağlubiyet
2016-2017;515800000;218650000;Atlético Madrid;Leicester City;Vicente Calderón;51423;1;0;Galibiyet
2016-2017;562550000;802900000;Bayern München;Real Madrid;Allianz Arena;70000;1;2;Mağlubiyet
2016-2017;218650000;515800000;Leicester City;Atlético Madrid;King Power Stadium;31548;1;1;Beraberlik
2016-2017;802900000;562550000;Real Madrid;Bayern München;Santiago Bernabéu;78346;4;2;Galibiyet
2016-2017;765300000;497180000;FC Barcelona;Juventus;Spotify Camp Nou;96290;0;0;Beraberlik
2016-2017;309550000;390650000;AS Monaco;Borussia Dortmund;Stade Louis II;17135;3;1;Galibiyet
2016-2017;802900000;515800000;Real Madrid;Atlético Madrid;Santiago Bernabéu;77609;3;0;Galibiyet
2016-2017;309550000;497180000;AS Monaco;Juventus;Stade Louis II;16762;0;2;Mağlubiyet
2016-2017;497180000;309550000;Juventus;AS Monaco;Allianz Stadium;40244;2;1;Galibiyet
2016-2017;515800000;802900000;Atlético Madrid;Real Madrid;Vicente Calderón;53422;2;1;Galibiyet
2016-2017;497180000;802900000;Juventus;Real Madrid;Millennium;65842;1;4;Mağlubiyet
